[09:18:22.320 18/12/1990]	N	0.703	N	[09:18:23.023 18/12/1990]
[09:18:23.023 18/12/1990]	N	0.711	N	[09:18:23.734 18/12/1990]
[09:18:23.734 18/12/1990]	N	0.703	N	[09:18:24.438 18/12/1990]
[09:18:24.438 18/12/1990]	N	0.688	N	[09:18:25.125 18/12/1990]
[09:18:25.125 18/12/1990]	N	0.711	N	[09:18:25.836 18/12/1990]
[09:18:25.836 18/12/1990]	N	0.383	V	[09:18:26.219 18/12/1990]
[09:18:26.219 18/12/1990]	V	1.016	N	[09:18:27.234 18/12/1990]
[09:18:27.234 18/12/1990]	N	0.695	N	[09:18:27.930 18/12/1990]
[09:18:27.930 18/12/1990]	N	0.695	N	[09:18:28.625 18/12/1990]
[09:18:28.625 18/12/1990]	N	0.711	N	[09:18:29.336 18/12/1990]
[09:18:29.336 18/12/1990]	N	0.711	N	[09:18:30.047 18/12/1990]
[09:18:30.047 18/12/1990]	N	0.859	Q	[09:18:30.906 18/12/1990]
[09:18:30.906 18/12/1990]	Q	0.555	A	[09:18:31.461 18/12/1990]
[09:18:31.461 18/12/1990]	A	0.695	N	[09:18:32.156 18/12/1990]
[09:18:32.156 18/12/1990]	N	0.711	N	[09:18:32.867 18/12/1990]
[09:18:32.867 18/12/1990]	N	0.711	N	[09:18:33.578 18/12/1990]
[09:18:33.578 18/12/1990]	N	5.609	N	[09:18:39.188 18/12/1990]
[09:18:39.188 18/12/1990]	N	0.375	V	[09:18:39.563 18/12/1990]
[09:18:39.563 18/12/1990]	V	1.008	N	[09:18:40.570 18/12/1990]
[09:18:40.570 18/12/1990]	N	0.711	N	[09:18:41.281 18/12/1990]
[09:18:41.281 18/12/1990]	N	0.383	V	[09:18:41.664 18/12/1990]
[09:18:41.664 18/12/1990]	V	1.023	N	[09:18:42.688 18/12/1990]
[09:18:42.688 18/12/1990]	N	0.688	N	[09:18:43.375 18/12/1990]
[09:18:43.375 18/12/1990]	N	0.383	V	[09:18:43.758 18/12/1990]
[09:18:43.758 18/12/1990]	V	1.023	N	[09:18:44.781 18/12/1990]
[09:18:44.781 18/12/1990]	N	0.711	N	[09:18:45.492 18/12/1990]
[09:18:45.492 18/12/1990]	N	0.719	N	[09:18:46.211 18/12/1990]
[09:18:46.211 18/12/1990]	N	0.727	N	[09:18:46.938 18/12/1990]
[09:18:46.938 18/12/1990]	N	0.734	N	[09:18:47.672 18/12/1990]
[09:18:47.672 18/12/1990]	N	0.734	N	[09:18:48.406 18/12/1990]
[09:18:48.406 18/12/1990]	N	0.750	N	[09:18:49.156 18/12/1990]
[09:18:49.156 18/12/1990]	N	0.734	N	[09:18:49.891 18/12/1990]
[09:18:49.891 18/12/1990]	N	0.375	V	[09:18:50.266 18/12/1990]
[09:18:50.266 18/12/1990]	V	1.078	N	[09:18:51.344 18/12/1990]
[09:18:51.344 18/12/1990]	N	0.734	N	[09:18:52.078 18/12/1990]
[09:18:52.078 18/12/1990]	N	0.734	N	[09:18:52.813 18/12/1990]
[09:18:52.813 18/12/1990]	N	0.719	N	[09:18:53.531 18/12/1990]
[09:18:53.531 18/12/1990]	N	0.711	N	[09:18:54.242 18/12/1990]
[09:18:54.242 18/12/1990]	N	0.727	N	[09:18:54.969 18/12/1990]
[09:18:54.969 18/12/1990]	N	0.734	N	[09:18:55.703 18/12/1990]
[09:18:55.703 18/12/1990]	N	0.727	N	[09:18:56.430 18/12/1990]
[09:18:56.430 18/12/1990]	N	0.734	N	[09:18:57.164 18/12/1990]
[09:18:57.164 18/12/1990]	N	0.727	N	[09:18:57.891 18/12/1990]
[09:18:57.891 18/12/1990]	N	0.727	N	[09:18:58.617 18/12/1990]
[09:18:58.617 18/12/1990]	N	0.719	N	[09:18:59.336 18/12/1990]
[09:18:59.336 18/12/1990]	N	0.719	N	[09:19:00.055 18/12/1990]
[09:19:00.055 18/12/1990]	N	0.367	V	[09:19:00.422 18/12/1990]
[09:19:00.422 18/12/1990]	V	1.078	N	[09:19:01.500 18/12/1990]
[09:19:01.500 18/12/1990]	N	0.727	N	[09:19:02.227 18/12/1990]
[09:19:02.227 18/12/1990]	N	0.734	N	[09:19:02.961 18/12/1990]
[09:19:02.961 18/12/1990]	N	0.734	N	[09:19:03.695 18/12/1990]
[09:19:03.695 18/12/1990]	N	0.750	N	[09:19:04.445 18/12/1990]
[09:19:04.445 18/12/1990]	N	0.727	N	[09:19:05.172 18/12/1990]
[09:19:05.172 18/12/1990]	N	0.734	N	[09:19:05.906 18/12/1990]
[09:19:05.906 18/12/1990]	N	0.727	N	[09:19:06.633 18/12/1990]
[09:19:06.633 18/12/1990]	N	0.719	N	[09:19:07.352 18/12/1990]
[09:19:07.352 18/12/1990]	N	0.703	N	[09:19:08.055 18/12/1990]
[09:19:08.055 18/12/1990]	N	0.383	V	[09:19:08.438 18/12/1990]
[09:19:08.438 18/12/1990]	V	1.039	N	[09:19:09.477 18/12/1990]
[09:19:09.477 18/12/1990]	N	0.703	N	[09:19:10.180 18/12/1990]
[09:19:10.180 18/12/1990]	N	0.703	N	[09:19:10.883 18/12/1990]
[09:19:10.883 18/12/1990]	N	0.688	N	[09:19:11.570 18/12/1990]
[09:19:11.570 18/12/1990]	N	0.688	N	[09:19:12.258 18/12/1990]
[09:19:12.258 18/12/1990]	N	0.695	N	[09:19:12.953 18/12/1990]
[09:19:12.953 18/12/1990]	N	0.383	V	[09:19:13.336 18/12/1990]
[09:19:13.336 18/12/1990]	V	1.023	N	[09:19:14.359 18/12/1990]
[09:19:14.359 18/12/1990]	N	0.703	N	[09:19:15.063 18/12/1990]
[09:19:15.063 18/12/1990]	N	0.703	N	[09:19:15.766 18/12/1990]
[09:19:15.766 18/12/1990]	N	0.711	N	[09:19:16.477 18/12/1990]
[09:19:16.477 18/12/1990]	N	0.383	V	[09:19:16.859 18/12/1990]
[09:19:16.859 18/12/1990]	V	1.047	N	[09:19:17.906 18/12/1990]
[09:19:17.906 18/12/1990]	N	0.703	N	[09:19:18.609 18/12/1990]
[09:19:18.609 18/12/1990]	N	0.711	N	[09:19:19.320 18/12/1990]
[09:19:19.320 18/12/1990]	N	0.719	N	[09:19:20.039 18/12/1990]
[09:19:20.039 18/12/1990]	N	0.367	V	[09:19:20.406 18/12/1990]
[09:19:20.406 18/12/1990]	V	1.070	N	[09:19:21.477 18/12/1990]
[09:19:21.477 18/12/1990]	N	0.719	N	[09:19:22.195 18/12/1990]
[09:19:22.195 18/12/1990]	N	0.703	N	[09:19:22.898 18/12/1990]
[09:19:22.898 18/12/1990]	N	0.711	N	[09:19:23.609 18/12/1990]
[09:19:23.609 18/12/1990]	N	0.703	N	[09:19:24.313 18/12/1990]
[09:19:24.313 18/12/1990]	N	0.695	N	[09:19:25.008 18/12/1990]
[09:19:25.008 18/12/1990]	N	0.398	V	[09:19:25.406 18/12/1990]
[09:19:25.406 18/12/1990]	V	1.016	N	[09:19:26.422 18/12/1990]
[09:19:26.422 18/12/1990]	N	0.703	N	[09:19:27.125 18/12/1990]
[09:19:27.125 18/12/1990]	N	0.695	N	[09:19:27.820 18/12/1990]
[09:19:27.820 18/12/1990]	N	0.711	N	[09:19:28.531 18/12/1990]
[09:19:28.531 18/12/1990]	N	0.703	N	[09:19:29.234 18/12/1990]
[09:19:29.234 18/12/1990]	N	0.711	N	[09:19:29.945 18/12/1990]
[09:19:29.945 18/12/1990]	N	0.375	V	[09:19:30.320 18/12/1990]
[09:19:30.320 18/12/1990]	V	1.055	N	[09:19:31.375 18/12/1990]
[09:19:31.375 18/12/1990]	N	0.711	N	[09:19:32.086 18/12/1990]
[09:19:32.086 18/12/1990]	N	0.703	N	[09:19:32.789 18/12/1990]
[09:19:32.789 18/12/1990]	N	0.711	N	[09:19:33.500 18/12/1990]
[09:19:33.500 18/12/1990]	N	0.695	N	[09:19:34.195 18/12/1990]
